index,real-mod,which-found,clinet,server
1047,[自定义准心] custom-crosshair-mod-v1.4.0-forge-mc1.18.2.jar,custom-crosshair-mod, 客户端需装, 服务端无效
None,[盔甲韧性显示] toughnessbar-1.18.2-7.jar,None,,
744,[苹果皮] appleskin-forge-mc1.18.2-2.5.1.jar,appleskin, 客户端需装, 服务端可选
5295,[虚空图腾] voidtotem-forge-1.18.2-1.3.1.jar,voidtotem, 客户端需装, 服务端需装
4518,[结构变体] repurposed_structures_forge-5.1.15+1.18.2.jar,repurposed-structures, 客户端可选, 服务端需装
1139,[试验假人] MmmMmmMmmMmm-1.18.2-1.5.2.jar,mmmmmmmmmmmm, 客户端需装, 服务端需装
5532,[自定义游戏加载界面] drippyloadingscreen_forge_3.0.1_MC_1.18.2.jar,drippy-loading-screen, 客户端需装, 服务端无效
12555,[资源包惰性重载／抑验怠载] 0Pack2Reload-Forge-1.18.2-1.0.0.jar,opack2reload, 客户端需装, 服务端无效
None,[自定义光标] ForgeCustomCursorMod-1.18-1.3.0.1.jar,None,,
3004,[连锁破坏] ftb-ultimine-forge-1802.3.4-build.93.jar.disabled,ftb-ultimine-, 客户端需装, 服务端需装
3007,[遗体] corpse-1.18.2-1.0.2.jar,corpse, 客户端需装, 服务端需装
12691,[被动搜索栏] PassiveSearchBar+Forge+1.18.2-1.19.2-1.0.0.jar,passive-searchbar, 客户端需装, 服务端无效
3212,[那不勒斯风味] neapolitan-1.18.2-3.0.0.jar,neapolitan, 客户端需装, 服务端需装
None,[边划边看] Boat-Item-View-Forge-1.18-0.0.3.jar,None,,
3651,[配置界面] configured-2.0.1-1.18.2.jar,configured, 客户端需装, 服务端可选
1191,[键位冲突显示] Controlling-forge-1.18.2-9.0+23.jar,controlling, 客户端需装, 服务端无效
295,[镁／铷：动态光源] dynamiclightsreforged-1.18.2_v1.3.3.jar,dynamic-lights, 客户端需装, 服务端可选
3888,[铁氧体磁芯] ferritecore-4.2.2-forge.jar,ferritecore, 客户端可选, 服务端可选
1162,[鼠标手势] MouseTweaks-forge-mc1.18-2.21.jar,mouse-tweaks, 客户端需装, 服务端无效
1945,[附魔描述] EnchantmentDescriptions-Forge-1.18.2-10.0.17.jar,enchantment-descriptions, 客户端需装, 服务端无效
None,[通用拼音搜索] jecharacters-1.18.2-forge-4.5.9.jar,None,,
None,[鞘翅插槽] curiouselytra-forge-1.18.2-5.0.2.0.jar,None,,
